Municipio,CEP,CPF
Alto Alegre, 69350-000, 259.076.384-00
Amajari, 69343-000, 714.650.389-57
Boa Vista, 69300-000, 928.135.704-60
Bonfim, 69380-000, 934.827.150-41
Cantá, 69340-000, 276.408.315-71
Caracaraí, 69360-000, 913.764.802-04
Caroebe, 69365-000, 346.175.982-19
Iracema, 69390-000, 026.518.973-02
Mucajaí, 69340-000, 204.579.861-58
Normandia, 69345-000, 319.824.607-50
Pacaraima, 69345-000, 647.812.503-35
Rorainópolis, 69373-000, 803.195.462-33
São João da Baliza, 69373-000, 279.340.618-03
São Luiz, 69375-000, 206.851.397-86
Uiramutã, 69343-000, 209.158.463-06
