Data de Nascimento,Sexo,CPF,Município,Estado,Doenças Preexistentes,Alergias,Histórico de Hábitos de Vida,Diagnósticos,Data da Consulta,Exames,Medicações Prescritas,Procedimentos de Enfermagem,Data e Horário de Admissão,Data e Horário de Alta,Data e Horário de Readmissão,Índice de Satisfação,Ocupação de Leito,Ocupação da Enfermaria,Óbito
1948-04-30,M,128.603.745-07,Normandia,RR,Hipertensão,Nenhuma,Sedentário,Gripe,2024-04-14,Hemograma,Ibuprofeno,Oxigenoterapia,2024-04-13,2024-04-14,2024-04-14,0,Não,Enfermaria 4,Sim
1971-09-27,F,714.650.389-57,Amajari,RR,Hipertensão,Penicilina,Sedentário,Alergia,2024-04-16,Tomografia,Metformina,Coleta de sangue,2024-04-11,2024-04-12,2024-04-12,1,Sim,Enfermaria 1,Sim
1957-06-09,F,695.203.147-25,Amajari,RR,Doença cardíaca,Polen,Moderadamente ativo,Infecção urinária,2024-08-16,Hemograma,Paracetamol,Oxigenoterapia,2024-08-11,2024-08-15,2024-08-21,0,Não,Enfermaria 3,Não
1961-08-13,M,248.530.791-14,Mucajaí,RR,Nenhuma,Polen,Sedentário,Gripe,2024-05-31,Eletrocardiograma,Insulina,Coleta de sangue,2024-05-29,2024-06-02,2024-06-08,4,Não,Enfermaria 3,Sim
1972-07-23,F,196.582.470-67,Iracema,RR,Doença cardíaca,Lactose,Moderadamente ativo,Infecção urinária,2024-01-19,Urocultura,Ibuprofeno,Monitoramento de glicose,2024-01-14,2024-01-16,2024-01-17,3,Não,Enfermaria 3,Não
1992-04-25,F,908.743.621-13,Normandia,RR,Câncer,Penicilina,Moderadamente ativo,Covid-19,2024-04-22,Eletrocardiograma,Insulina,Coleta de sangue,2024-04-18,2024-04-19,2024-04-19,2,Sim,Enfermaria 2,Sim
1971-05-22,F,286.107.439-69,Cantá,RR,Hipertensão,Polen,Sedentário,Infecção urinária,2024-02-27,Hemograma,Paracetamol,Oxigenoterapia,2024-02-23,2024-02-27,2024-02-27,5,Sim,Enfermaria 3,Não
1960-01-27,F,928.135.704-60,Boa Vista,RR,Nenhuma,Penicilina,Sedentário,Bronquite,2024-06-07,Tomografia,Paracetamol,Coleta de sangue,2024-06-02,2024-06-03,2024-06-03,5,Não,Enfermaria 1,Não
1971-06-19,F,391.506.482-33,Boa Vista,RR,Doença cardíaca,Penicilina,Moderadamente ativo,Gripe,2024-09-05,Eletrocardiograma,Metformina,Coleta de sangue,2024-09-02,2024-09-07,2024-09-07,3,Sim,Enfermaria 2,Sim
2002-04-21,F,539.018.267-77,Mucajaí,RR,Doença cardíaca,Penicilina,Sedentário,Gripe,2024-10-16,Raio-X,Metformina,Coleta de sangue,2024-10-15,2024-10-20,2024-10-26,5,Não,Enfermaria 1,Sim
